topic_cluster_id,topic_name,topic_cluster_probability,topic_type,topic_volume,X
1,grammar,0.08140650737441774,Relevant,473.7443575313731,19.64638149732257
1,dependency,0.07411035363437299,Relevant,498.12016473111163,22.76126919298009
1,parse,0.07075727183164925,Relevant,444.14431605533275,15.863909629656192
0,document,0.011817190366041537,Relevant,458.9063705321111,17.750294005589236
0,probability,0.010981976151306822,Relevant,409.92209781228746,11.490788130544907
0,tag,0.010115362894920378,Relevant,425.765340045338,13.515333200444381
4,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
23,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
22,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
2,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
21,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
3,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
20,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
24,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
10,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
18,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
8,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
16,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
9,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
7,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
17,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
14,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
6,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
12,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
15,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
13,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
11,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
5,possibly,0.0021008777860536646,Relevant,835.3999514551988,65.86091504479509
